Date,Time,User_ID,User_Name,NFC_ID,Frequent_Visitor
2024-01-06,09:00:00,9,User_9,1fb631e3-1f79-4fd4-81b1-89b89282a3c5,True
2024-01-16,12:30:00,3,User_3,774b9e1e-b666-4ad9-8520-9d68d6a0ed2f,False
2024-01-10,12:30:00,10,User_10,2abe368d-5092-4449-b4e0-88c3659efeda,True
2023-12-27,09:00:00,5,User_5,3cd9f993-0aaf-41ec-bff2-309b1a9c1b31,False
2024-01-03,09:00:00,1,User_1,19c50d99-b22a-455e-9420-dbdc6ccd7623,False
2023-12-28,12:30:00,8,User_8,9576133c-f67a-4d38-b8cf-5461582f2ddd,False
2024-01-10,21:10:00,6,User_6,91e2db21-5704-45f9-af3d-74ea59f92bea,False
2024-01-13,18:20:00,4,User_4,ff9d6787-b67c-4ee0-be06-f7de94baf416,True
2023-12-26,15:45:00,2,User_2,05bfb6c6-2252-4209-8e58-3e06b00c1c68,True
2023-12-24,18:20:00,7,User_7,4cbc9edf-b24f-4511-8a64-63f418b7b8f1,False
